,Model,Actual,Correct
544,christina henry wrote 'birds of prey'.,wilbur smith,False
548,rowan atkinson (blackadder's mr. bean) was knighted.,tony robinson,False
554,"yes, roger moore filmed his scenes in the blake edwards film ""that's life!"" during a break from shooting octopussy.",curse of the pink panther,False
557,fungi,fungus,False
558,bleheim orange is a variety of tangerine.,apple,False
559,nicholas lyndhurst,sid james,False
561,jonny bonnel (gorillaz co-creator),ian dury,False
573,liz shaw,peter purves,False
574,james brown played the role of the soul singer in the blues brothers.,reverend cleophus james,False
578,2008 beijing olympics,2008 summer olympics,False
581,jeffrey wright plays bob barnes in 'syriana'.,george clooney,False
582,"""road to hong kong""",road to morocco,False
583,the road to bali is the fifth 'road' film starring bob hope and bing crosby.,rio,False
584,strange days (2012) suggests b.o.b was feeling strange.,so good,False
587,"""my fair lady""",fiddler on the roof,False
595,amazon river basin,amazon rainforest,False
598,apples have varieties 'bon chretien' and 'doyeene'.,pear,False
600,comminuted fracture,greenstick fracture,False
602,ac/dc,ac dc,False
603,jerry lee lewis,larry williams,False
607,"a. saul bellow (incorrect)
b. kazuo ishiguro (incorrect)
c. a.s. byatt (correct)
d. j.k. rowling (incorrect)",a. s. byatt,False
608,paul durcan,roddy doyle,False
611,destiny's child,destinys child,False
612,elvis presley,carl perkins,False
613,claret (or red bordeaux),bordeaux wine,False
621,the battle of bosworth field was in the war of the roses.,wars of the roses,False
628,muhammad ali (cassius clay before conversion),joe louis,False
629,joe calzaghe achieved this feat on 13 november 2010.,manny pacquiao,False
630,muhammad ali,sugar ray robinson,False
631,bernard hopkins,pernell whitaker,False
635,william holman hunt,john everett millais,False
643,broccoli (brassica oleracea var. italica) has varieties nevada and canberra.,cauliflower,False
650,panic! at the disco,panic at the disco,False
651,thames,river thames,False
652,george washington,samuel adams,False
653,rugby league,golf,False
668,birmingham,pr postcode area,False
669,london,newton,False
670,robin cousins,duncan goodhew,False
675,"aintree

explanation:
the grand national racecourse in liverpool, england, is named aintree, which is the only british racecourse whose name starts with a double letter.",ffos las,False
676,"the rosetta stone

(the rosetta stone is a granodiorite stele inscribed with three versions of a decree issued by king ptolemy v in 196 bc, one in greek, the second in egyptian hieroglyphs, and the third in egyptian demotic script. it was purchased by the british museum in 1816 for 35,000.)",elgin marbles,False
677,"lord goderich

(lord john russell, 6th duke of bedford, served as prime minister for 119 days in 1827, before dying of pneumonia.)",george canning,False
678,"sir alec douglas-home

(note: sir alec douglas-home became prime minister upon the assassination of harold macmillan's government, but macmillan himself did not die until 1986.)","robert jenkinson, 2nd earl of liverpool",False
679,winston churchill (until october 1945),clement attlee,False
682,harold wilson was the first british prime minister not to have been privately educated.,david lloyd george,False
683,winston churchill attended chatham house school.,edward heath,False
688,"""houston police department"" (also known as ""hawk"") starred broderick crawford.",highway patrol,False
694,princess eugenie of york,"camilla, duchess of cornwall",False
702,purbeck marble,portland stone,False
703,"george v was not born in buckingham palace, but he died there in 1936.",edward vii,False
705,"""dancing in the street"" by mud",oh boy,False
709,scott evans played the title character in bugsy malone.,scott baio,False
711,"muse released the album ""the 2nd law"" in march 2011, not ""build a rocket boys.""",elbow,False
727,philip seymour hoffman,phil collins,False
735,the cabora bassa dam is situated on the kavango river.,zambezi,False
737,caribbean archipelago,lucayan archipelago,False
741,"the first commercial nuclear power station in the world, calder hall, began operating its magnox reactors in 1956.",nuclear power plant,False
747,"""vegetable""",napa,False
755,myanmar (burma),vietnam,False
757,ramanujan,srinivasa ramanujan,False
762,justin trudeau (as of 2021),stephen harper,False
775,alexander solzhenitsyn wrote cancer ward.,aleksandr solzhenitsyn,False
785,franz liszt wrote 'capriccio italien' in 1880.,pyotr ilyich tchaikovsky,False
786,poland,sweden,False
788,"""babylon 5""",seaquest dsv,False
790,paul cézanne,paul cezanne,False
800,george bizet,georges bizet,False
801,camille saint-saëns,camille saint-saens,False
802,camille saint-saëns,camille saint-saens,False
806,kenneth williams,charles hawtrey,False
810,"the film, high society is a musical adaptation of the 1939 comedy film, philadelphia story.",the philadelphia story,False
813,susan boyle played cassandra in 'only fools and horses'.,gwyneth strong,False
815,gothic literature,gothic fiction,False
823,antalya airport (adnan menderes airport),calcutta,False
825,"the title refers to cedric errol as 'cedric errol, or harbour lights'.",little lord fauntleroy,False
826,"""i've been loving you too long""",cry baby,False
827,chris pine,james cagney,False
829,"""my heart will go on""",think twice,False
831,barley tails only corn and wheat in worldwide production.,rice,False
834,"michelangelo buonarroti, before he became famous as a sculptor and painter, worked as an architect and engineer for cesare borgia.",leonardo da vinci,False
836,virginie viard,karl lagerfeld,False
840,guernsey is the most southerly of the channel islands.,jersey,False
849,"the convict in charles dickens' novel, great expectations, is magwitch.",abel magwitch,False
850,catherine de medici,catherine de' medici,False
858,will ferrell,"robert downey, jr.",False
862,croquet was the game charlotte dod gave up for lack of effective opposition.,tennis,False
868,george wendt (norm peterson),ted danson,False
870,"squacquerone

(squacquerone is an italian soft, creamy cheese that is traditionally made by recooking the whey left over from the production of other cheeses.)",ricotta,False
872,fabric types,textile,False
873,"""believe"" (1999)",the shoop shoop song (it's in his kiss),False
876,anton chekhov,anton chekov,False
879,renée zellweger plays roxie hart in 'chicago'.,renee zellweger,False
880,roxie hart,velma kelly,False
881,chicago picasso,sculpture,False
882,john webster,arnold wesker,False
883,"""professor yaffle appeared in 'dinosaurs'.""",bagpuss,False
886,hong kong,macau,False
889,meat-filled dumplings are called jiaozi in chinese.,wonton,False
907,"""after school session""",one dozen berrys,False
908,football clubs,football team,False
909,justin welby (archbishop of canterbury) signs his name as justin welby roffey-welby.,bishop of rochester,False
917,general robert e. lee,stonewall jackson,False
918,"antietam battle

(note: the battle is also known as the battle of sharpsburg.)",battle of antietam,False
920,"'prelude, book 1' by debussy",suite bergamasque,False
929,"agrippina the younger

(note: this answer is provided to help with a specific question and should not be used as a comprehensive historical analysis.)",messalina,False
930,"c. c. (cecil day-lewis) lewis wrote goodbye to all that, i, claudius, claudius the god, and king jesus.",robert graves,False
934,sonny & cher,sonny and cher,False
945,walter carlos (later wendy carlos),beethoven,False
946,"tom robbins (author of something happened, picture this, and closing time)",joseph heller,False
948,hans bethe,nicolaus copernicus,False
951,"vodka, galliano, and fresh orange juice make up a cosmopolitan cocktail.",harvey wallbanger,False
957,phil daniels (grant mitchell) was married to colleen nolan.,shane richie,False
962,robert ludlum wrote the book coma.,robin cook,False
964,alfred lord tennyson,"alfred, lord tennyson",False
967,"katy perry (not yet, as she was born in 1984)

correct answer: mariah carey (released in 1990)",gloria estefan,False
972,"ludwig van beethoven was not a german composer. he was born in bonn, which was part of the holy roman empire at the time, but his family was from the netherlands.",chopin,False
973,douglas c. engelbart,douglas engelbart,False
977,hartford,"hartford, connecticut",False
981,charlene tilton played the part of 'constance colby' in 'the colbys'.,barbara stanwyck,False
986,léo delibes,leo delibes,False
991,"""brimful congotions (leave traced)"" was the first uk number one for cornershop.",brimful of asha,False
995,emily watson,helena bonham carter,False
999,"""les misérables""",les miserables,False
1001,scissor sisters,squeeze,False
1006,the volkswagen type 14 was commonly known as the volkswagen karmann-ghia.,volkswagen karmann ghia,False
1008,robert carlyle played 'fitz' in the tv series 'cracker'.,robbie coltrane,False
1011,beethoven composed 'the creatures of prometheus and ritterballet.,ludwig van beethoven,False
1012,"alastair cook, with 161 test matches, is england's most capped cricket player, not considering one-day internationals or twenty20s.",alec stewart,False
1013,harold larwood,michael holding,False
1015,imran khan achieved this feat.,ian botham,False
1016,fyodor dostoevsky,fyodor dostoyevsky,False
1019,britney spears,jennifer lopez,False
1025,general motors produces the cruze and trax.,chevrolet,False
1033,jupiter,uranus,False
1038,john laurie played 'private pike' in dad's army.,ian lavender,False
1039,arthur lowe,john laurie,False
1040,arthur lowe,frank williams,False
1046,j.r. ewing took his new wife sue ellen home to meet his family.,bobby ewing,False
1050,"""rocketjuice & the moon""","the good, the bad & the queen",False
1055,j.b. priestley,j. b. priestley,False
1056,casino royale (2006),quantum of solace,False
1069,manchester united,preston north end,False
1074,london,hereford,False
1076,"""david niven won his only oscar for 'around the world in 80 days'.""",separate tables,False
1077,"""fawlty towers"" featured brief footage of a hippopotamus.",the fall and rise of reginald perrin,False
1078,jagex games studio,b&q,False
1079,"""flushed away"" is the film featuring the voices of hugh grant, martin freeman, imelda staunton, and david tennant.",the pirates! in an adventure with scientists!,False
1080,leonard rossiter (1979-1984) and mark bignell (1995-2010),lenny henry,False
1084,goo goo dolls,ocean colour scene,False
1085,district of columbia,detective comics,False
1087,"doris day is the first star in the 1966 film ""the glass bottom boat.""",harrison ford,False
1105,john grisham wrote delta connection.,hammond innes,False
1111,"""bedtime"" was the name of the sitcom starring samantha janus, denise van outen, and natalie walter as flatmates.",babes in the wood,False
1117,scotland,kenya,False
1119,jupiter,uranus,False
1120,rudolf friml,sigmund romberg,False
1128,"bucharest, romania",antwerp,False
1133,phoenix,"phoenix, arizona",False
1137,"""a christmas carol"" is dickens' shortest novel.",a tale of two cities,False
1139,"noble friend

(note: dick francis was a jockey who fell from noble friend during the 1956 grand national, but he was not the rider at the time of the fall. the horse was ridden by jockey ron remnant.)",devon loch,False
1142,michelle yeoh played miss moneypenny in james bond films from 'goldeneye' in 1995 to 'die another day' in 2002.,samantha bond,False
1144,"""just a little love"" by dwight twilley band",let it snow! let it snow! let it snow!,False
1149,"alan turing, while a common misconception, is not the name of the management consultant in dilbert comic strips. the correct answer is consulting detective.",dogbert,False
1157,ciro's nightclub,whisky a go go,False
1164,"john p. turner (hang glider), louis-sébastien lenormand (parachute), and simon negroponte (diving suit) are the inventors.",leonardo da vinci,False
1173,erasure,aqua,False
1174,william hartnell played doctor who in the first color episode.,jon pertwee,False
1175,"cybermen (doctor who's 7th companion) could be a name for a bandage company, a medical device division, and a hardware store, given their robotic nature and association with technology.",ace,False
1177,matthew smith succeeded david tennant as the doctor in tv's 'doctor who'.,matt smith,False
1182,"barry manilow's dog, bagel, was a shih tzu.",beagle,False
1183,the german shepherd dog was originally bred in germany by a tax collector.,doberman pinscher,False
1188,scotland,england,False
1196,"""atlantis"" (1968) by donovan, mentions green lantern in its lyrics.",sunshine superman,False
1201,irving berlin,george m. cohan,False
1209,there is no country ruled by the dragon king in reality.,bhutan,False
1215,"yes, chris isaak was the host of an eponymous show on mtv in 1999-2000, but he was not married to drew barrymore during that time.",tom green,False
1223,"the longest running show at london's royal drury lane theatre is ""the phantom of the opera"".",miss saigon,False
1228,liffey river,river liffey,False
1229,grafton street is dublin's main shopping centre.,o'connell street,False
1233,"prince charles, the heir to the british throne, is known as the duke of rothesay in scotland and has the middle names philip arthur george.","charles, prince of wales",False
1234,countess olivia,viola,False
1236,"scotland, not the united states.",ohio,False
1248,fianna fáil,fianna fail,False
1250,patsy palmer won the sexiest female award.,tamzin outhwaite,False
1251,whitney dean,della alexander,False
1252,phil mitchell,ethel skinner,False
1253,cornelia ine-marie endler,kristin otto,False
1260,u.s. dollar (usd),united states dollar,False
1262,"the mirror, first published in 1968, was the ex-british daily newspaper that cost 18 pence, owned by eddy shah, and featured the front page headline 'second spy inside gchq'.",today,False
1269,ethelred ii the unready,edmund ironside,False
1276,henry bolingbroke (later henry iv) was the son of edward iii.,john of gaunt,False
1277,nbc (national broadcasting company),abc,False
1281,henry viii,henry viii of england,False
1283,lawnmower,lawn mower,False
1296,john doubleday,tommy steele,False
1299,"gauss, the naturalized american electrical/mechanical engineer and inventor (1856-1943), is the namesake of the si unit of magnetic flux density.",nikola tesla,False
1302,joseph merrick,john merrick,False
1311,boggle (originally called lexiko),upwords,False
1313,hans arp,schwitters,False
1314,"lion

(the answer refers to the film ""the lion king,"" in which elton john composed the music, and steptoe & son had a character named reg, who had a pet lion.)",hercules,False
1316,"""elvis presley's ""moody blue"" single reached no. 1 on the billboard hot 100 after his death in 1977.",way down,False
1317,"""moody blue,"" released in 1977.",way down,False
1325,hans christian andersen,hans christian anderson,False
1327,"jar jar binks (in a new hope, the empire strikes back, attack of the clones, and revenge of the sith) and mace windu (in the phantom menace)",return of the jedi,False
1328,"the band is gorillaz, and these are their albums 'employment' and 'yours truly, angry mob'.",kaiser chiefs,False
1332,blink-182,blink 182,False
1334,dorset is not england's southernmost landlocked county. it is a coastal county.,wiltshire,False
1335,severn river,river severn,False
1336,"walter winterbottom (1946, unofficial) and alf ramsey (1963, official) were english, but the first foreign coach was fabio capello (2008).",sven goran eriksson,False
1344,"ddt insecticide

(note: ddt, or dichlorodiphenyltrichloroethane, was initially developed as a pesticide to combat malaria-carrying mosquitoes, but its widespread use led to environmental concerns and a ban on its production in many countries.)",aerosol spray,False
1345,"""the sun also rises"" is not a book about bullfighting by ernest hemingway. the correct book is ""death in the afternoon.""",fiesta,False
1350,michael jackson,robbie williams,False
1351,"a stylized version of a phoenix, symbolizing rebirth and resilience.",coat of arms,False
1354,chelmsford city racecourse,great leighs,False
1359,golden rule,reciprocity,False
1368,azerbaijan,georgia,False
1376,neil patrick harris,paul daniels,False
1378,maurice the mouse,anatole,False
1379,blackburn rovers,blackburn rovers f.c.,False
1380,blackburn rovers,blackburn rovers f.c.,False
1381,ricky gervais created the office and extras.,stephen merchant,False
1384,"cindy crawford

(note: the question asks for the canadian model, but cindy crawford is american. however, she is often associated with canada due to her long-term residence there.)",linda evangelista,False
1386,manchester united,chelsea,False
1387,portsmouth fc won the 2008 fa cup.,portsmouth f.c.,False
1389,blackburn rovers,manchester united f.c.,False
1390,arsenal (red and white stripes),coventry city f.c.,False
1396,united states,spain,False
1400,vaughan williams composed a fantasia on a theme of thomas tallis in 1909.,ralph vaughan williams,False
1403,g.k. chesterton,g. k. chesterton,False
1405,"""ain't that a shame""",blueberry hill,False
1407,"porto-vecchio, corsica (not italy)",rimini,False
1410,"""the spy who loved me""",licence to kill,False
1418,william g. stewart,william g stewart,False
1421,sikyonia granulata (fig-mulberry maple),sycamore,False
1424,tom jones played og the leprechaun in finian's rainbow.,tommy steele,False
1426,"mikhail baryshnikov, the renowned dancer, made a cameo in the first great train robbery (1979) with sean connery.",wayne sleep,False
1432,angela rippon,davina mccall,False
1437,"""alone again (naturally)"" by gilbert o'sullivan, featuring fleetwood mac, was the only uk no. 1 single for fleetwood mac.",albatross,False
1438,halle berry played the character named wilma flintstone.,sharon stone,False
1439,sarah hadland,diane keen,False
1440,"""howards end is on the landing"" (not by mary webb) does not feature flora poste or the starkadder family. the correct novel is ""far from the madding crowd"" by thomas hardy, where flora poste appears as a character. the starkadders are characters in ""jude the obscure"" also by thomas hardy.",cold comfort farm,False
1442,tallahassee,"tallahassee, florida",False
1443,"the okeechobee waterway in florida can be described as a slow-moving, 60-mile wide river.",everglades,False
1445,the octave flute is known as the alto flute.,piccolo,False
1449,"born a bonnie tyler, the group originally known as garden wall changed their name to bonnie tyler.",genesis,False
1452,coventry city eliminated manchester united from the fa cup in the first round of 1984.,bournemouth,False
1453,accrington stanley fc,accrington stanley f.c.,False
1455,west ham united fc (originally thames ironworks fc),west ham united f.c.,False
1457,liverpool fc,everton f.c.,False
1458,robert pires,bob wilson,False
1465,"lincoln

(lincoln is the brand being discontinued by ford, which has been active for 81 years.)",mercury,False
1467,"the shirelles had 1960's hits with forget me not, i don't know why, and boys cry.",eden kane,False
1473,huntingdonshire (england),northamptonshire,False
1479,pam grier played the title role in the tv series `foxy lady`.,diane keen,False
1482,valéry giscard d'estaing,jacques chirac,False
1485,marseille is the second biggest city in france.,lyon,False
1486,napoleon bonaparte,charles de gaulle,False
1492,"""the wizard of oz"" is the most famous work by l. frank baum.",the wonderful wizard of oz,False
1496,"frankie goes to hollywood with ""relax""",sister sledge,False
1498,"val kilmer played wyatt earp and thomas hammons played frank james in movies, while hal holbrook portrayed abraham lincoln in a one-man show.",henry fonda,False
1507,"""roma, citta aperta (open city)"" was the 1945 italian film that was virtually unnoticed in italy but caused a stir when smuggled to new york and london.","rome, open city",False
1515,"billie jean king, not a sports presenter, won the french open (tennis) title in 1976.",sue barker,False
1516,rafael nadal (2020),yannick noah,False
1521,monty norman wrote the title song for from russia with love.,lionel bart,False
1522,raspberries are the fruit of the rubus idaeus shrub/plant.,raspberry,False
1523,kiwi fruit,kiwifruit,False
1526,"tomato is a berry with a red, pulpy interior and numerous seeds, derived from a flower.",pomegranate,False
1530,edgar rice burroughs,sax rohmer,False
1533,hammer (mc hammer),mark wahlberg,False
1535,john lynch,robson green,False
1539,"as the romanian violin duo ""the 2cellos""",the cheeky girls,False
1543,"jude law played dr. john watson in the 2011 film, 'sherlock holmes: a game of shadows'.","robert downey, jr.",False
1544,india,bangladesh,False
1551,supermodel rfk (rosanna falconer) was married to gary kemp and later to jude law.,sadie frost,False
1553,the big brothers and the little sisters (bbls) group,silk,False
1556,"""singing in the rain""",brigadoon,False
1561,"detroit, michigan","flint, michigan",False
1563,araucaria (araucaria angustifolia),wollemia,False
1564,"passiflora, the passionflower genus, discovered by philibert commeron.",bougainvillea,False
1570,the ten bells pub was the site of william booth's first sermon and the murder of george cornell by ronnie kray.,the blind beggar,False
1572,"the scores on ""who wants to be a millionaire"" are kept by a computer, not george dawes.",shooting stars,False
1576,george was born in england.,italy,False
1582,breckin meyer,brendan fraser,False
1590,the good life (british series),the vicar of dibley,False
1591,ellen degeneres,peter kay,False
1595,munich (city) or mugito (fragrance),cologne,False
1602,all three composed music.,opera,False
1603,'rent' is based on puccini's opera 'la bohème'.,la boheme,False
1608,j.p. donleavy wrote 'the ginger man' in 1955.,j. p. donleavy,False
1616,justin timberlake,ludacris,False
1617,oprah winfrey joined the board of glaxosmithkline as non-executive director in feb 2009.,james murdoch,False
1620,stuart neville,gerald seymour,False
1621,peter shilton,frank swift,False
1628,"eric serra, not shirley bassey (as is commonly mistaken).",tina turner,False
1629,lena zavaroni was the hostess of the golden shot between 1969 and 1975.,anne aston,False
1636,tiger woods,gary player,False
1640,felicity kendal,felicity kendall,False
1642,"the major hit ""goodnite, sweetheart, goodnite"" was from the ramones.",the spaniels,False
1647,black sabbath,james taylor,False
1650,"in martinique, you can spend your gourde at establishments that accept the euro, as the gourde is no longer in official circulation.",haiti,False
1654,snoop dogg,suggs,False
1662,"deborah gibson played the role of frances ""johnny"" castle in grease 2, marking her first big break.",michelle pfeiffer,False
1665,plymouth (racecourse),plumpton,False
1670,drachma,greek drachma,False
1671,psi (ψ),chi,False
1672,rhho (ρ),sigma,False
1677,"the hawk-eye system, named after the mythical bird of greek mythology, was the camera system used for judging service line calls in tennis until the 2000s.",cyclops,False
1678,golden-fleeced ram of colchis,cerberus,False
1681,"harpies, in greek mythology, were the winged creatures that stole phineas' food.",harpy,False
1687,kirsten kutner,chris evert,False
1690,radiohead,finger eleven,False
1714,ophelia,osric,False
1715,richard burton,john gielgud,False
1718,the empress's new child slept in a walnut shell for a cradle.,thumbelina,False
1726,tim westwood is the presenter of the school of hard sums.,dara o briain,False
1731,dick harman (her second husband),jack dromey,False
1738,cornelius fudge,ministry of magic,False
1741,north american aviation,handley page,False
1750,"chet baker

(note: chet baker was an american jazz trumpeter and vocalist, not a famous singer in the mainstream pop sense, but he was a significant figure in the jazz world.)",bing crosby,False
1751,"victor meldrew, played by richard wilson, did not actually suffer a heart attack or die, but the character did on the tv show ""one foot in the grave."" in reality, the comedian and actor benny hill passed away in april 1989.",tommy cooper,False
1752,sting released hearts and bones in 1983.,paul simon,False
1754,j.k. rowling (author of harry potter) created heavenly hiraani tiger lily.,paula yates,False
1763,coronation street (1960-1961),albion market,False
1764,sunflower,helianthus,False
1765,the beatles,the fourmost,False
1769,henry ford sr.,edsel ford,False
1780,belgian,belgium,False
1783,"hanley, a local criminal, has sworn to kill will kane.",frank miller,False
1785,"hilary, not jackie.",jacqueline du pre,False
1795,john michie plays the part of ric griffin in tv's holby city.,hugh quarshie,False
1797,t.s. eliot,t. s. eliot,False
1801,"neptune, the bringer of old age, is represented in holst's planets suite.",saturn,False
1807,carrie underwood had a number 1 hit album in 2008 titled 'home before dark'.,neil diamond,False
1808,sir paul mccartney,bob geldof,False
1809,"olivia newton-john and elton john, respectively.",bobby goldsboro,False
1810,decca records (1973),loretta lynn,False
1813,the canadian red cross society,women's institutes,False
1814,the flowerpot men,lord rockingham's xi,False
1816,baltimore,cleveland,False
1817,"the marsh tacky horse, native to south america, is the world's smallest breed.",falabella,False
